target,family,eps0,lam,c_o,F,p_bar_low,p_bar_high,finding,within_stated_assumptions,diagnosis_hint
P2/H2 single-threshold participation,linear,,0.7,2.0,0.5,2.0532820951597768,33.28005123817382,"COUNTEREXAMPLE: linear demand is log-concave (H2 sufficient condition holds) and A1-A4 hold, but Pi_O < 0 for p > p_bar_high (demand vanishes near the choke price); the biconditional in P2 fails on [c_g, inf)",True,"proposition-domain issue: restrict P2 to p in [c_g, p_O_max] (or below the choke price), or restate participation as an interval"
P2/H2 single-threshold participation,ces,1.1,0.3,1.5,0.5084181906458585,2.3993611017157406,43808.869780692025,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.3,2.0,0.4940002936468861,3.1991481356209874,58411.826374255965,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.3,3.0,0.4743709453700361,4.798722203431481,87617.739561384,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.5,1.5,0.7361425478674017,2.3993611017157406,43808.86978069195,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.5,2.0,0.7152667656334292,3.1991481356209874,58411.826374255914,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.5,3.0,0.6868452836342492,4.798722203431481,87617.73956138385,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.7,1.5,1.2912060270387657,2.3993611017157406,43808.869780691915,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.7,2.0,1.254589564754739,3.199148135620988,58411.82637425579,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.1,0.7,3.0,1.2047378220983351,4.798722203431481,87617.739561384,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.3,1.5,0.41192922840874974,2.1864976991621243,709.0883277436975,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
P2/H2 single-threshold participation,ces,1.2000000000000002,0.3,2.0,0.38889724007804577,2.9153302655494993,945.451103658262,"participation set is bounded interval [p_bar_low, p_bar_high]; 1[p>=p_bar] form fails above p_bar_high",False,missing curvature condition: H2 requires log-concave demand; CES is log-convex
